country_code,period,gdp_growth,rule_of_law_estimate
ARG,1996-2005,3.4873798468075057,-0.4344740861228535
ARG,2006-2015,3.2920308085336183,-0.6628531217575073
BRA,1996-2005,2.8701855643922256,-0.31176038512161786
BRA,2006-2015,2.838708266120711,-0.15120196565985677
CHN,1996-2005,9.633522280930974,-0.5491753859179359
CHN,2006-2015,9.60307928111791,-0.5041874200105667
IND,1996-2005,6.440807608289218,0.18368601559528266
IND,2006-2015,6.765801077576443,0.001892726868391012
KEN,1996-2005,3.2181499020058273,-0.9438413466726027
KEN,2006-2015,4.839638649082894,-0.8209376811981196
MEX,1996-2005,3.4371864405442585,-0.4578999025481087
MEX,2006-2015,1.9557737655990621,-0.5315600305795669
NGA,1996-2005,7.165505481622296,-1.3488647256578716
NGA,2006-2015,6.062934490936812,-1.0967229068279267
USA,1996-2005,3.4515523889331488,1.5213916812624242
USA,2006-2015,1.6461398142813195,1.5985604405403149
ZAF,1996-2005,3.6401516785812618,0.06456339818292431
ZAF,2006-2015,2.644291350578477,0.08775405338383283
