year,rl_est,series
1990,,Africa
1991,,Africa
1992,,Africa
1993,,Africa
1994,,Africa
1995,,Africa
1996,-0.7009184794857145,Africa
1997,,Africa
1998,-0.6997022340272334,Africa
1999,,Africa
2000,-0.718429488070468,Africa
2001,,Africa
2002,-0.6893634455318142,Africa
2003,-0.6908765411638518,Africa
2004,-0.7558938857821862,Africa
2005,-0.7657426587365403,Africa
2006,-0.7190830171742335,Africa
2007,-0.72252582432826,Africa
2008,-0.7230351686755077,Africa
2009,-0.734498237438024,Africa
2010,-0.7361418778433443,Africa
2011,-0.7400507203080143,Africa
2012,-0.7412968830515942,Africa
2013,-0.7412421035890775,Africa
2014,-0.6776579905611771,Africa
2015,-0.6982297522481532,Africa
1990,,China
1991,,China
1992,,China
1993,,China
1994,,China
1995,,China
1996,-0.545589983463287,China
1997,,China
1998,-0.476805359125137,China
1999,,China
2000,-0.51611715555191,China
2001,,China
2002,-0.517029762268066,China
2003,-0.553043842315674,China
2004,-0.585468709468842,China
2005,-0.650172889232635,China
2006,-0.699893414974213,China
2007,-0.597397744655609,China
2008,-0.479174673557281,China
2009,-0.46321377158165,China
2010,-0.472601860761642,China
2011,-0.453809976577759,China
2012,-0.545384466648102,China
2013,-0.52588939666748,China
2014,-0.396053194999695,China
2015,-0.408455699682236,China
1990,,Euro area
1991,,Euro area
1992,,Euro area
1993,,Euro area
1994,,Euro area
1995,,Euro area
1996,1.1690215405664957,Euro area
1997,,Euro area
1998,1.1640956935129665,Euro area
1999,,Euro area
2000,1.1651043068421516,Euro area
2001,,Euro area
2002,1.1716240252319132,Euro area
2003,1.1909209129057436,Euro area
2004,1.1916030676741347,Euro area
2005,1.1906103021220165,Euro area
2006,1.226849916734193,Euro area
2007,1.2480284493220482,Euro area
2008,1.2683731380261876,Euro area
2009,1.2505868359615928,Euro area
2010,1.254117219071639,Euro area
2011,1.234594150593406,Euro area
2012,1.227286723099256,Euro area
2013,1.2209507744563257,Euro area
2014,1.2822272087398332,Euro area
2015,1.2119377145641734,Euro area
1990,,Japan
1991,,Japan
1992,,Japan
1993,,Japan
1994,,Japan
1995,,Japan
1996,1.34782886505127,Japan
1997,,Japan
1998,1.34852516651154,Japan
1999,,Japan
2000,1.28975915908813,Japan
2001,,Japan
2002,1.14855170249939,Japan
2003,1.16399013996124,Japan
2004,1.24947249889374,Japan
2005,1.22439658641815,Japan
2006,1.35152566432953,Japan
2007,1.31983089447021,Japan
2008,1.30866920948029,Japan
2009,1.28708302974701,Japan
2010,1.31965863704681,Japan
2011,1.30369925498962,Japan
2012,1.35136580467224,Japan
2013,1.43588483333588,Japan
2014,1.59787368774414,Japan
2015,1.48507380485535,Japan
1990,,Latin America
1991,,Latin America
1992,,Latin America
1993,,Latin America
1994,,Latin America
1995,,Latin America
1996,0.015676052655492417,Latin America
1997,,Latin America
1998,0.034008593710938284,Latin America
1999,,Latin America
2000,-0.016187678383929354,Latin America
2001,,Latin America
2002,-0.028370162951094454,Latin America
2003,-0.061145220377615495,Latin America
2004,-0.029070183735441648,Latin America
2005,-0.04878574775884281,Latin America
2006,-0.06177783661798851,Latin America
2007,-0.06843830896793227,Latin America
2008,-0.07526018329568779,Latin America
2009,-0.06120229089582303,Latin America
2010,-0.050139800318189626,Latin America
2011,-0.0517392516941637,Latin America
2012,-0.06865584407303749,Latin America
2013,-0.06556861072375975,Latin America
2014,-0.16951491421944392,Latin America
2015,-0.10366600026955475,Latin America
1990,,United States
1991,,United States
1992,,United States
1993,,United States
1994,,United States
1995,,United States
1996,1.5002189874649,United States
1997,,United States
1998,1.56696021556854,United States
1999,,United States
2000,1.56463289260864,United States
2001,,United States
2002,1.51690554618835,United States
2003,1.55444955825806,United States
2004,1.41830444335938,United States
2005,1.5282701253891,United States
2006,1.59266018867493,United States
2007,1.61114573478699,United States
2008,1.62871420383453,United States
2009,1.59132015705109,United States
2010,1.63102221488953,United States
2011,1.59098601341248,United States
2012,1.62034177780151,United States
2013,1.54942762851715,United States
2014,1.60697412490845,United States
2015,1.56301236152649,United States
